change_id,product_id,change_type,request_date,approved_flag
ECN-062,PROD-020,Dimension Change,2025-07-21,True
ECN-063,PROD-079,Cost Reduction,2025-09-06,True
ECN-064,PROD-079,Quality Improvement,2025-02-03,True
ECN-065,PROD-065,Compliance Update,2025-09-25,True
ECN-066,PROD-039,Compliance Update,2026-05-22,False
ECN-067,PROD-048,Cost Reduction,2024-07-31,True
ECN-068,PROD-054,Quality Improvement,2026-01-02,True
ECN-069,PROD-093,Design Update,2026-02-02,True
ECN-070,PROD-034,Supplier Change,2024-10-19,True
ECN-071,PROD-075,Compliance Update,2026-01-03,True
ECN-072,PROD-081,Performance Enhancement,2026-06-10,True
ECN-073,PROD-088,Supplier Change,2025-09-13,True
ECN-074,PROD-090,Material Change,2026-02-26,True
ECN-075,PROD-057,Cost Reduction,2025-02-15,True
ECN-076,PROD-053,Supplier Change,2026-03-11,True
ECN-077,PROD-100,Compliance Update,2025-12-02,False
ECN-078,PROD-095,Design Update,2025-04-13,True
ECN-079,PROD-067,Supplier Change,2024-10-17,True
ECN-080,PROD-085,Compliance Update,2025-03-07,True
ECN-081,PROD-041,Dimension Change,2025-06-25,True
ECN-082,PROD-069,Cost Reduction,2024-11-22,True
ECN-083,PROD-087,Quality Improvement,2025-07-10,True
ECN-084,PROD-025,Supplier Change,2024-07-25,True
ECN-085,PROD-039,Supplier Change,2026-02-03,False
ECN-086,PROD-039,Quality Improvement,2026-06-03,True
ECN-087,PROD-089,Compliance Update,2026-02-01,True
ECN-088,PROD-045,Quality Improvement,2025-02-12,True
ECN-089,PROD-074,Performance Enhancement,2025-08-15,False
ECN-090,PROD-051,Cost Reduction,2026-03-06,False
ECN-091,PROD-019,Quality Improvement,2024-12-08,True
ECN-092,PROD-092,Material Change,2025-08-21,True
ECN-093,PROD-057,Quality Improvement,2026-07-01,True
ECN-094,PROD-028,Supplier Change,2024-10-13,False
ECN-095,PROD-035,Quality Improvement,2026-05-30,True
ECN-096,PROD-079,Supplier Change,2025-11-20,True
ECN-097,PROD-086,Supplier Change,2025-03-11,True
ECN-098,PROD-007,Material Change,2026-05-07,True
ECN-099,PROD-092,Compliance Update,2025-12-01,True
ECN-100,PROD-099,Dimension Change,2025-08-21,True
ECN-101,PROD-071,Dimension Change,2025-11-08,True
ECN-102,PROD-061,Compliance Update,2024-12-24,True
ECN-103,PROD-097,Quality Improvement,2024-11-18,True
ECN-104,PROD-083,Design Update,2025-05-09,False
ECN-105,PROD-012,Supplier Change,2026-03-07,True
ECN-106,PROD-093,Design Update,2024-11-25,False
ECN-107,PROD-023,Performance Enhancement,2025-09-14,False
ECN-108,PROD-023,Design Update,2026-03-19,False
ECN-109,PROD-051,Compliance Update,2026-07-09,True
ECN-110,PROD-096,Quality Improvement,2025-09-07,False
ECN-111,PROD-002,Quality Improvement,2026-07-06,True
ECN-112,PROD-014,Cost Reduction,2024-07-23,True
ECN-113,PROD-083,Compliance Update,2025-10-31,False
ECN-114,PROD-018,Compliance Update,2025-03-31,True
ECN-115,PROD-015,Cost Reduction,2025-08-06,True
ECN-116,PROD-059,Quality Improvement,2024-08-07,True
ECN-117,PROD-002,Cost Reduction,2024-10-17,True
ECN-118,PROD-073,Supplier Change,2026-07-14,True
ECN-119,PROD-082,Performance Enhancement,2025-04-30,False
ECN-120,PROD-066,Cost Reduction,2026-06-05,True
ECN-121,PROD-086,Material Change,2026-04-29,True
ECN-122,PROD-018,Compliance Update,2026-04-10,True
ECN-123,PROD-032,Design Update,2025-03-18,True
ECN-124,PROD-031,Compliance Update,2025-01-24,True
ECN-125,PROD-043,Quality Improvement,2024-09-05,True
ECN-126,PROD-074,Design Update,2025-01-26,True
ECN-127,PROD-047,Supplier Change,2026-06-04,True
ECN-128,PROD-016,Compliance Update,2025-10-06,True
ECN-129,PROD-052,Quality Improvement,2024-09-22,True
ECN-130,PROD-082,Quality Improvement,2024-09-27,True
ECN-131,PROD-029,Supplier Change,2026-02-11,False
ECN-132,PROD-062,Dimension Change,2025-08-04,True
ECN-133,PROD-078,Cost Reduction,2026-04-17,True
ECN-134,PROD-071,Compliance Update,2024-09-14,True
ECN-135,PROD-086,Supplier Change,2026-03-05,True
ECN-136,PROD-088,Material Change,2025-09-09,True
ECN-137,PROD-068,Cost Reduction,2026-03-09,True
ECN-138,PROD-073,Material Change,2024-10-28,True
ECN-139,PROD-071,Supplier Change,2024-10-30,True
ECN-140,PROD-020,Dimension Change,2025-12-17,True
ECN-141,PROD-067,Compliance Update,2025-07-27,True
ECN-142,PROD-027,Compliance Update,2025-09-23,True
ECN-143,PROD-066,Compliance Update,2024-11-28,False
ECN-144,PROD-059,Dimension Change,2025-02-13,True
ECN-145,PROD-059,Design Update,2025-09-05,True
ECN-146,PROD-087,Quality Improvement,2026-05-31,True
ECN-147,PROD-051,Quality Improvement,2025-11-06,False
ECN-148,PROD-096,Supplier Change,2025-06-16,True
ECN-149,PROD-006,Performance Enhancement,2025-01-03,True
ECN-150,PROD-009,Design Update,2026-07-14,False
